month_date,year,month,quarter,season,field_key,yph_target,extent_ha,vp_sd,vp_sd_encoded,age_or_prune_cycle,plucking_rounds_month,gl_per_ha_per_round_todate,nitrogen_month,last_12m_nitrogen,last_12m_yph,ph_value,foliar_rounds_month,dap_todate,plucking_average_month,lph_month,pluckers_month,green_leaf_month,extent_plucked_month,yph_12m_fert,plucking_rounds_fert,foliar_rounds_fert,dolomite_applied_date,last_fertilized_date,last_weeding_date,weeded_until_date,Monthly_Rainfall,Evaporation,Sunshine Hours,Humidity_morning,Humidity_daytime,Soil Type,Soil Tempereture,Envirinment Tempereture
2021-01-01,2021,1,1,Q1,1A/1,246.2743885,4,VP,1,32.53349205,4,183.6147566,71.18874948,261.3967484,2066.487161,5.022234797,4,20,19.70096683,12.21900149,990,22645.63108,73.25840375,1936.353808,37,5,2021-01-22,2021-01-24,2021-01-04,2021-01-28,178.5592094,89.30473118,126.788298,93.64405,73.45987,Red Yellow Podzolic,20.39682,21.31968328
2021-01-01,2021,1,1,Q1,1A/2,227.2992139,4.09,VP,1,31.57566474,3,106.0841253,71.94522714,364.4797194,1500.642358,4.35791586,5,25,13.86433794,15.25426928,783,11750.1526,44.90940298,1879.26247,33,6,2021-01-07,2021-01-23,2021-01-19,2021-01-28,184.8701727,96.92121968,143.9224954,89.33153,83.31179,Red Yellow Podzolic,19.64971,20.19676298
2021-01-01,2021,1,1,Q1,1B/1,55.41922268,2.31,VP,1,29.03398898,3,361.2437307,77.14435878,219.9901631,1838.21711,5.318901174,3,22,26.0510413,5.006549845,782,23983.90621,150.6855872,1580.035243,36,4,2021-01-28,2021-01-17,2021-01-10,2021-01-28,153.2856694,84.35514097,147.271737,95.44676,68.16715,Red Yellow Podzolic,20.29433,21.40692511
2021-01-01,2021,1,1,Q1,1B/2,163.6779083,5,VP,1,23.42743995,3,121.3570108,77.59274309,310.3394342,1380.702779,5.460129839,3,18,24.93234808,6.434827766,684,17560.98582,85.19737413,1340.807436,33,3,2021-01-28,2021-01-23,2021-01-09,2021-01-28,172.275308,92.3234363,149.7842836,94.26937,81.90405,Red Yellow Podzolic,20.28848,20.81042943
2021-01-01,2021,1,1,Q1,2,77.98456685,5.24,VP,1,40.59690609,3,173.1351938,75.25657893,210.6861184,797.2724693,6.5,5,19,26.42506575,4.894607011,721,26478.07865,151.3799497,441.908341,27,2,2021-01-14,2021-01-07,2021-01-18,2021-01-28,164.4819687,97.97741612,153.4410751,88.56427,69.22581,Red Yellow Podzolic,20.20418,20.05635633
2021-01-01,2021,1,1,Q1,2A,202.4117621,3.81,VP,1,33.31346315,3,172.9956882,74.96003652,459.899802,329.5498252,5.001252354,6,23,19.87625788,10.62952531,1019,18719.77127,94.08173717,639.704232,38,1,2021-01-28,2021-01-18,2021-01-12,2021-01-28,164.2223922,90.77582991,140.1085046,96.88917,71.835,Red Yellow Podzolic,21.24813,21.60852209
2021-01-01,2021,1,1,Q1,2A,95.52099662,6.5,VP,1,36.46332879,4,97.3603752,74.76463063,147.3074577,967.4354003,4.719119156,3,19,22.78052631,4.730499101,827,22369.49429,188.6727213,646.6306824,33,1,2021-01-02,2021-01-08,2021-01-13,2021-01-28,210.3871843,84.44289794,128.7787225,94.8731,69.92284,Red Yellow Podzolic,20.20414,21.58432104
2021-01-01,2021,1,1,Q1,2A/1,219.0097189,4.68,VP,1,14.85093549,3,165.1559265,79.97127383,304.4908828,343.5078148,4.607473559,4,30,18.26596982,13.57324237,1250,24615.95131,82.19757792,2930.735782,36,5,2021-01-03,2021-01-14,2021-01-24,2021-01-28,175.5925427,88.20301518,154.6623433,95.25179,65.51145,Red Yellow Podzolic,20.58037,20.96775653
2021-01-01,2021,1,1,Q1,2B,158.6165272,5.43,VP,1,8.545890433,6,133.5590349,83.90651877,297.3991445,227.2056745,4.40509906,5,25,28.0751902,5.401796866,748,20975.49817,117.9591044,2263.711249,59,6,2021-01-13,2021-01-14,2021-01-10,2021-01-28,190.2237412,93.63809943,153.8736947,92.65869,79.74446,Red Yellow Podzolic,20.963,19.74728293
2021-01-01,2021,1,1,Q1,2B/1,250.0182398,4.69,VP,1,31.98872803,6,133.4529947,77.32680893,452.7827948,394.503269,4.576779395,5,28,30.44095168,5.491104867,938,29193.82604,146.0125829,1603.492925,40,5,2021-01-22,2021-01-20,2021-01-18,2021-01-28,190.6149401,88.83825452,150.3409045,96.66466,79.97307,Red Yellow Podzolic,21.23965,20.29664754
2021-01-01,2021,1,1,Q1,3,103.0252473,5,VP,1,7.983081073,2,307.5333895,70.82721246,146.2260891,1020.549572,5.192273643,4,25,32.38116706,5.981612714,525,17772.27127,80.92332603,1504.4034,33,5,2021-01-26,2021-01-03,2021-01-04,2021-01-28,178.0884175,97.22126731,149.595408,96.18135,73.13039,Red Yellow Podzolic,18.43467,21.9477439
2021-01-01,2021,1,1,Q1,3/1,0,5.52,VP,1,4.137418869,4,128.091749,73.58069869,75.4622972,225.8751269,5.027380569,2,21,27.74825371,4.884284816,469,14445.11783,95.78208377,1215.796482,26,6,2021-01-26,2021-01-16,2021-01-22,2021-01-28,179.436663,89.92484876,157.6220232,88.44548,84.32031,Red Yellow Podzolic,20.12378,22.21080975
2021-01-01,2021,1,1,Q1,4,166.571293,8.09,VP,1,23.54848101,3,78.82057795,77.08656314,276.4553353,1800.606196,4.908035041,3,27,24.29492259,9.084633079,981,23526.57132,106.9031979,1551.117916,31,4,2021-01-13,2021-01-17,2021-01-08,2021-01-28,191.8640171,93.29147034,142.2489136,89.16665,78.56973,Red Yellow Podzolic,20.16909,21.33326143
2021-01-01,2021,1,1,Q1,5/2A,160.5590599,3.5,VP,1,13.10420421,3,125.7753049,75.79960221,272.9945694,715.4022921,5.009581561,4,23,21.41944259,6.726917721,434,14302.84124,57.53466424,1646.239439,37,5,2021-01-04,2021-01-14,2021-01-27,2021-01-24,179.7325218,93.69204173,159.86043,94.28196,72.63401,Red Yellow Podzolic,18.1306,22.08028069
2021-01-01,2021,1,1,Q1,5/2B,190.2154804,3.62,VP,1,9.125199267,4,157.121882,72.924604,261.2979176,648.1548716,4.908136734,4,21,23.9089822,6.87707412,739,18225.72581,94.93510457,1480.747265,32,4,2021-01-04,2021-01-14,2021-01-13,2021-01-01,184.2702051,95.79283142,159.8669436,92.5776,71.01736,Red Yellow Podzolic,17.74959,21.76471525
2021-01-01,2021,1,1,Q1,5A/1,219.9747141,5.7,VP,1,37.91011134,2,167.0892911,63.74835966,219.5141971,1596.150347,5.120999594,4,19,21.453809,8.933264674,1520,29697.40069,144.3720609,1413.099713,32,2,2021-01-05,2021-01-08,2021-01-20,2021-01-28,194.5537171,90.96194085,147.7110246,91.03871,84.64705,Red Yellow Podzolic,19.68703,21.02840631
2021-01-01,2021,1,1,Q1,5A/2,194.0993812,7.62,VP,1,33.7292292,3,103.4663915,74.37706585,301.5038853,1581.74602,4.599780505,3,28,13.8949104,22.02499385,1401,21242.38238,71.2892766,1395.283312,33,3,2021-01-01,2021-01-08,2021-01-28,2021-01-28,139.110236,94.96485937,139.4903882,94.63937,76.06848,Red Yellow Podzolic,19.72282,20.14428689
2021-01-01,2021,1,1,Q1,5B/1,161.954916,4.18,VP,1,8.844373593,6,223.2810871,71.26259481,148.9668358,866.7883572,4.026659528,3,28,32.28004711,5.263045454,548,19886.75768,110.8663885,2038.12768,60,4,2021-01-21,2021-01-02,2021-01-18,2021-01-28,158.0523781,97.17486806,146.6190932,91.52958,83.48453,Red Yellow Podzolic,22.26997,22.17492162
2021-01-01,2021,1,1,Q1,5B/2,275.6262126,3.23,VP,1,41.70939555,6,140.0511592,74.32925581,411.2512881,1658.445532,4.652501868,4,35,31.0922273,4.409566966,561,19259.08408,119.3069944,1092.617157,35,3,2021-01-18,2021-01-16,2021-01-19,2021-01-28,187.9293261,100.2743036,156.3673157,88.63285,80.69429,Red Yellow Podzolic,19.92939,22.64912983
2021-01-01,2021,1,1,Q1,6A,261.1717864,2.5,VP,1,44.21490484,3,232.0740127,74.19526496,369.512187,461.3044942,4.658113045,5,22,19.07226298,13.96264602,1052,20178.77963,68.72801425,1590.903072,34,4,2021-01-28,2021-01-27,2021-01-18,2021-01-28,196.873909,90.50811858,152.9558915,94.93381,76.67602,Red Yellow Podzolic,19.95702,19.31137414
2021-01-01,2021,1,1,Q1,6A/1,309.6813692,2,VP,1,19.96490773,6,224.5932954,77.13778989,460.0948993,2725.752365,4.68330145,3,21,22.57261227,4.69410719,781,17383.96443,150.1110981,2679.538327,53,4,2021-01-09,2021-01-24,2021-01-06,2021-01-28,162.4620625,90.74177705,133.8361745,91.37358,72.01684,Red Yellow Podzolic,18.77772,18.87221617
2021-01-01,2021,1,1,Q1,6A/1,229.2893949,6,VP,1,8.506967303,4,214.6958956,77.6324918,291.0357255,221.0355776,4.861798032,5,24,25.56687791,9.176069753,875,23177.66968,94.32537866,2607.229298,54,4,2021-01-10,2021-01-15,2021-01-18,2021-01-28,180.0348733,96.20825971,147.9524039,91.86174,77.67536,Red Yellow Podzolic,19.93365,22.6275287
2021-01-01,2021,1,1,Q1,6A/2,271.7005454,2,VP,1,41.29581159,6,142.5618586,80.63554927,296.7961025,2365.07012,4.749931598,1,12,14.28883276,8.268440113,592,9779.217823,76.35371803,1756.924546,38,4,2021-01-08,2021-01-18,2021-01-07,2021-01-28,110.8328759,94.62296705,136.1472363,93.04705,82.61713,Red Yellow Podzolic,21.46457,21.0957677
2021-01-01,2021,1,1,Q1,6A/2/1,85.07472317,2,VP,1,7.48614001,5,159.0935245,70.92390776,218.0758899,1125.068142,4.041805576,4,17,18.70883963,10.60582785,354,7019.948139,27.43125451,2204.941006,46,5,2021-01-22,2021-01-02,2021-01-21,2021-01-28,194.6808153,91.57333171,142.5014941,92.92995,73.60144,Red Yellow Podzolic,19.52793,19.51016826
2021-01-01,2021,1,1,Q1,6A/4,196.5229418,1.25,VP,1,37.21407633,3,95.8428228,71.7060839,269.8730509,260.7843701,4.747899738,2,28,12.7720408,13.34488418,219,3240.769242,14.74290746,1761.349167,36,5,2021-01-28,2021-01-16,2021-01-26,2021-01-28,163.8879433,95.18771162,148.4470648,92.3449,82.56948,Red Yellow Podzolic,20.05881,22.5187729
2021-01-01,2021,1,1,Q1,6A/4/1,0,0.86,VP,1,8.336079302,0,108.8891139,71.13278196,110.4554467,104.272898,4.937093385,3,21,40.71596247,4.756120498,155,6383.189697,31.15943879,1412.818356,30,1,2021-01-27,2021-01-16,2021-01-04,2021-01-28,186.0772386,90.21739016,159.856433,88.62492,68.28794,Red Yellow Podzolic,20.50938,20.58082032
2021-01-01,2021,1,1,Q1,6B/1,272.713874,2.2,VP,1,32.82360329,3,126.7696662,70.85991167,363.464418,436.3311022,4.208135208,4,18,13.45015858,12.44374293,687,10219.39423,51.10728474,2282.909255,41,4,2021-01-06,2021-01-16,2021-01-27,2021-01-28,196.6523464,87.25695368,142.962276,90.29227,83.25783,Red Yellow Podzolic,21.28193,21.30467168
2021-01-01,2021,1,1,Q1,6B/2,340.9160171,2.5,VP,1,18.67336015,3,241.4610694,76.64184333,469.6582666,510.8811748,5.781781518,7,27,24.29925618,10.78434821,735,20721.64721,68.67927092,2756.612153,38,6,2021-01-04,2021-01-15,2021-01-10,2021-01-28,187.1836363,93.95568339,157.9272841,94.70831,79.13575,Red Yellow Podzolic,20.17725,20.52008391
2021-01-01,2021,1,1,Q1,6B/2/3,207.3317361,3,VP,1,36.62839153,3,267.3661621,73.14269948,445.0344348,2380.299683,5.561826891,3,23,20.95351514,7.591692074,1102,23733.53613,129.2096954,1711.774446,35,5,2021-01-02,2021-01-02,2021-01-15,2021-01-28,145.9269501,93.28194443,145.7155214,92.31433,71.67042,Red Yellow Podzolic,18.72012,19.88381535
2021-01-01,2021,1,1,Q1,6B/3,260.9091091,2,VP,1,20.04886495,3,405.789737,72.20938234,435.3423122,540.3797302,5.936206337,7,17,20.85701757,12.1192706,1025,24049.23188,73.43971474,3140.230213,44,4,2021-01-04,2021-01-15,2021-01-23,2021-01-28,190.4465969,95.83869699,126.0855739,94.93062,66.16286,Red Yellow Podzolic,21.14203,21.69215774
2021-01-01,2021,1,1,Q1,6B/4,392.9448602,2,VP,1,22.90470238,3,175.0995316,67.69962236,389.0202946,363.2399393,4.454329002,7,25,16.22616961,15.18550769,566,9922.77874,36.35286684,2237.321714,35,5,2021-01-28,2021-01-08,2021-01-16,2021-01-28,186.7789571,93.35131465,156.6304835,93.79076,78.50974,Red Yellow Podzolic,21.64542,22.24007707
2021-01-01,2021,1,1,Q1,6B/4,248.4553505,3,VP,1,23.72322003,3,201.5781422,75.93615678,472.2609239,2506.575193,4.606615988,5,21,22.83848467,6.150709697,716,19632.61622,106.9687719,2150.255206,36,5,2021-01-10,2021-01-16,2021-01-15,2021-01-28,181.3574139,97.20613388,150.0335423,88.64548,78.6173,Red Yellow Podzolic,20.81583,21.49286771
2021-01-01,2021,1,1,Q1,6B/5,168.9119794,2.5,VP,1,38.2197551,3,289.5145214,73.70909639,360.2540829,425.7561023,4.828547506,5,20,23.4339144,9.905770098,1122,26855.38756,113.3595401,1124.01773,27,3,2021-01-02,2021-01-04,2021-01-27,2021-01-28,178.3085306,90.10556353,151.6074364,96.21491,66.6024,Red Yellow Podzolic,20.69907,22.53600862
2021-01-01,2021,1,1,Q1,7,263.7207815,3,VP,1,18.77047226,7,100.6491347,74.10882446,387.9809356,2132.132363,4.427978905,3,46,29.68286739,3.874445139,520,15168.15274,144.7602213,2410.110639,52,3,2021-01-28,2021-01-18,2021-01-18,2021-01-28,174.5281345,95.85060868,151.0274774,89.53456,80.90174,Red Yellow Podzolic,20.73563,20.45753343
2021-01-01,2021,1,1,Q1,7/1,235.3169306,3.73,VP,1,14.99375027,6,173.6168483,75.93855058,394.9807211,1814.396279,4.792720826,3,45,31.58241927,4.331620973,893,33106.7519,181.3655582,2426.169337,60,4,2021-01-05,2021-01-02,2021-01-07,2021-01-28,195.3990331,91.68194829,147.7532051,88.30952,73.92341,Red Yellow Podzolic,19.25025,21.92650854
2021-01-01,2021,1,1,Q1,7A,0,1.54,SD,0,2.76262644,3,11462.89893,75.91875514,290.2878188,987.1848582,4.372033872,2,22,24.10197701,6.07463365,21429,602006.163,3502.806407,1089.944301,46,5,2021-01-08,2021-01-19,2021-01-28,2021-01-28,174.8629817,97.19861009,133.511447,95.91514,76.60915,Red Yellow Podzolic,21.16867,19.35202015
2021-01-01,2021,1,1,Q1,8,158.4002377,6.97,VP,1,35.4493123,3,82.77103299,71.77908663,340.4074017,360.870277,4.810963207,6,24,11.77541584,15.27563748,1535,20169.48352,86.7249933,1603.375971,35,3,2021-01-26,2021-01-14,2021-01-15,2021-01-28,194.571032,91.53173177,138.8160187,91.58202,77.73864,Red Yellow Podzolic,18.95771,20.7759584
2021-01-01,2021,1,1,Q1,8/1,196.4872048,6,VP,1,19.15903458,3,106.0053729,76.30627584,369.3993734,1951.705437,4.803673557,4,22,23.6708761,11.16144658,1153,32026.06468,98.54476801,2298.778912,37,5,2021-01-06,2021-01-05,2021-01-20,2021-01-28,188.0478319,100.8706826,152.2571834,93.54425,70.86625,Red Yellow Podzolic,17.80188,21.7122614
2021-01-01,2021,1,1,Q1,8/2,126.9649564,6.55,VP,1,13.37471357,2,158.8241813,72.96242037,251.9077735,1220.009599,5.131269278,5,16,26.50828657,6.091759115,977,27364.60073,151.1510973,1722.711761,31,5,2021-01-26,2021-01-07,2021-01-06,2021-01-28,182.0083846,87.04505939,140.3663414,91.38321,80.22421,Red Yellow Podzolic,18.5153,20.70045196
2021-01-01,2021,1,1,Q1,9,168.7284275,6.45,SD,0,25.6768004,4,96.95201228,71.801092,158.0933337,1377.309316,6.463629019,0,22,24.90468081,10.23525557,824,19201.56834,71.58526668,1575.432742,36,3,2021-01-09,2021-01-15,2021-01-01,2021-01-28,155.253992,98.93404235,156.4396562,91.56815,82.75533,Red Yellow Podzolic,22.61316,20.64500892
2021-01-01,2021,1,1,Q1,9A,181.1354975,2,SD,0,24.64497755,4,423.967978,77.45956368,231.938883,1423.947838,6.449507965,3,19,21.80483416,4.438957647,980,25063.47211,208.9853598,2152.596787,37,4,2021-01-08,2021-01-07,2021-01-25,2021-01-28,187.346811,91.27045414,146.521682,91.26767,68.25681,Red Yellow Podzolic,17.96744,20.72857599
2021-01-01,2021,1,1,Q1,9A/2,13.39884164,2.4,VP,1,31.31217382,4,326.7570756,72.5544741,285.4639143,137.963987,4.163434068,3,19,44.89931985,0.525756985,15,724.5832528,22.44839741,1743.922334,37,5,2021-01-27,2021-01-06,2021-01-11,2021-01-28,176.6227328,93.58424254,155.8394918,92.0393,69.29248,Red Yellow Podzolic,20.94448,22.19787137
2021-02-01,2021,2,1,Q1,1/B/2,138.8862244,5,VP,1,32.11569747,3,45.12018893,78.09895213,253.1752826,761.5370266,4.830162649,3,22,19.64747176,5.804748617,299,6252.827104,41.24900505,1745.716447,37,5,2021-02-05,2021-02-28,2021-02-13,2021-02-09,150.6487002,117.2409804,195.1636125,95.18451,76.02913,Red Yellow Podzolic,21.19951,22.9056927
2021-02-01,2021,2,1,Q1,10/2A,152.4661227,3.6,VP,1,5.60368524,3,510.6239703,77.97049457,322.1669194,1229.157739,4.716836944,1,21,38.75772947,6.24859678,648,27134.93822,106.9167623,1793.237072,40,6,2021-02-15,2021-02-28,2021-02-10,2021-02-28,162.0837119,105.5886416,167.9300549,93.80242,66.07665,Red Yellow Podzolic,20.94639,22.1739984
2021-02-01,2021,2,1,Q1,10/3,243.2070559,2,VP,1,22.65355622,4,241.7529362,70.70760608,377.1729402,1422.908786,4.801938874,3,20,29.92163616,6.294925291,327,11359.39876,49.94477729,2313.455084,46,4,2021-02-25,2021-02-17,2021-02-28,2021-02-28,169.3152916,104.6707832,164.6695649,92.53598,74.07968,Red Yellow Podzolic,22.4251,21.5148008
2021-02-01,2021,2,1,Q1,10/4,162.7549586,1.25,VP,1,6.642829973,3,1816.97264,70.23196935,334.5718035,912.9971657,5.049142033,3,18,36.00280894,6.10833021,634,25947.22063,115.6890427,1932.03437,38,6,2021-02-11,2021-02-10,2021-02-28,2021-02-28,151.5455732,117.3230184,170.808469,96.44553,69.89168,Red Yellow Podzolic,21.27126,21.97032085
2021-02-01,2021,2,1,Q1,11/1,294.4826518,2.98,VP,1,15.81932887,3,282.4421282,74.22568948,252.1327514,1597.074223,5.318337801,3,21,23.66660409,11.12523209,764,15760.93513,62.81764683,2811.185576,34,5,2021-02-03,2021-02-11,2021-02-10,2021-02-28,159.9357401,105.7828706,180.3782243,89.95054,82.42978,Red Yellow Podzolic,22.26443,23.1329224
2021-02-01,2021,2,1,Q1,11/1A,310.0663371,2.27,VP,1,31.29607149,2,341.545313,72.78798565,258.9880677,1907.226237,5.369558712,3,22,22.9855867,12.12725911,507,12634.6543,48.08352467,3051.732098,41,4,2021-02-01,2021-02-11,2021-02-19,2021-02-28,157.1915328,97.62277738,169.9454396,94.8355,80.0042,Red Yellow Podzolic,21.40185,20.77413632
2021-02-01,2021,2,1,Q1,12/1,450.7096916,4.25,VP,1,15.42212276,4,324.100642,76.48423594,486.8298715,2317.414463,4.615031919,3,21,22.71429566,14.03067342,1135,25010.47663,74.40661733,3821.378998,41,4,2021-02-21,2021-02-16,2021-02-23,2021-02-28,186.1700371,101.4624795,152.687846,94.75822,77.74897,Red Yellow Podzolic,19.62847,22.35483111
2021-02-01,2021,2,1,Q1,13A,399.5544124,2,VP,1,32.17658065,5,265.8164384,72.70139214,458.2149866,2105.095233,5.124540518,3,23,30.327169,7.20075177,665,17704.66067,82.55544293,3414.526887,69,6,2021-02-04,2021-02-12,2021-02-18,2021-02-28,129.5113536,107.7266293,181.8503691,89.62067,71.21302,Red Yellow Podzolic,21.23615,21.76064909
2021-02-01,2021,2,1,Q1,16/1,354.099714,2.4,VP,1,13.7670392,3,361.3687936,71.321576,396.3091692,1896.563129,5.383507383,3,20,24.49917188,10.71563882,537,20267.43901,62.9545451,2899.270706,41,5,2021-02-22,2021-02-19,2021-02-17,2021-02-28,154.093418,108.3227234,183.5056559,94.17471,74.16223,Red Yellow Podzolic,21.07389,22.83328625
2021-02-01,2021,2,1,Q1,16/4,25.88688251,1.6,VP,1,28.71746278,0,874.5078265,75.59218949,241.6398336,165.4690585,5.549565644,8,20,53.01128065,2.987932132,218,14690.36475,96.16520788,1631.622026,35,5,2021-02-03,2021-02-16,2021-02-12,2021-02-28,185.1795617,115.875172,170.334739,90.47398,74.47964,Red Yellow Podzolic,21.46921,21.00415134
2021-02-01,2021,2,1,Q1,1A/1,253.4635765,4,VP,1,30.96809424,3,190.2205658,77.96768325,289.9465123,1508.437842,5.067984358,2,20,22.61183516,10.92121903,679,15610.61854,66.76468846,2072.428741,34,5,2021-02-22,2021-02-22,2021-02-04,2021-02-28,134.4361944,102.6827239,159.5637923,91.40443,68.66072,Red Yellow Podzolic,21.49191,22.03946309
2021-02-01,2021,2,1,Q1,1A/2,186.4597726,4.09,VP,1,32.49377611,2,180.6318372,74.88322335,313.901841,1105.960969,4.522762989,3,21,16.2483824,10.26334327,541,7957.659986,44.36615988,1647.888452,34,6,2021-02-07,2021-02-13,2021-02-19,2021-02-28,138.3845624,112.0789111,175.6031683,94.6485,75.62265,Red Yellow Podzolic,20.81925,22.1248728
2021-02-01,2021,2,1,Q1,1B/1,212.7112257,2.31,VP,1,35.29044006,3,330.8666035,75.55439633,256.6320914,1284.143636,5.316061027,3,20,25.47513999,5.891564076,384,10737.3963,35.98947212,1565.643453,35,5,2021-02-28,2021-02-21,2021-02-05,2021-02-28,167.3943295,105.5421577,175.5483341,95.43553,76.74743,Red Yellow Podzolic,21.97554,22.90407769
2021-02-01,2021,2,1,Q1,1B/2,137.7690324,5,VP,1,24.07733701,3,157.5295327,78.45505583,270.6674356,862.1111167,5.46565324,3,22,27.21843161,6.173619918,494,11959.04565,76.48043404,1247.700269,32,3,2021-02-28,2021-02-27,2021-02-01,2021-02-28,116.1473775,121.5386669,168.282297,89.9538,67.86556,Red Yellow Podzolic,22.56475,21.42386012
2021-02-01,2021,2,1,Q1,2,81.29479676,5.24,VP,1,42.98576931,4,139.3616842,68.85527873,179.2586348,547.7592704,6.5,3,21,24.00894639,4.573193006,547,18966.90827,113.5263384,393.5112048,26,2,2021-02-14,2021-02-14,2021-02-18,2021-02-28,164.0667227,106.0858412,166.8258648,91.33673,80.09306,Red Yellow Podzolic,23.21341,22.94799072
2021-02-01,2021,2,1,Q1,2A,249.3981259,3.81,VP,1,38.50692064,2,299.4190873,76.43868034,315.3413117,1280.062,5.165753773,5,21,17.95131046,11.82062623,757,14763.02613,63.51950722,650.9959056,31,1,2021-02-28,2021-02-18,2021-02-22,2021-02-28,173.3859594,101.5404989,183.8156307,88.63284,76.23434,Red Yellow Podzolic,22.22088,23.14567058
2021-02-01,2021,2,1,Q1,2A,85.81443346,6.5,VP,1,34.17862823,4,90.03561734,70.49575047,144.1358525,690.7386241,4.824638813,2,19,23.027991,5.143459457,669,17485.10592,174.079492,663.6024931,33,1,2021-02-02,2021-02-02,2021-02-13,2021-02-28,149.2157029,108.5787532,197.9646239,88.60094,80.23933,Red Yellow Podzolic,22.39879,22.3041942
